time,Open,High,Low,Close,Volume,ema_20,ema_50,ema_200,rsi,MACD_36_72_24,MACDh_36_72_24,MACDs_36_72_24,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,atr,obv,PP,R1,R2,R3,S1,S2,S3
2024-01-18 22:00:00,35.585,35.616,35.501,35.548,1322,35.46167235652672,35.21418273292617,,60.866837932133805,,,,35.09419314343814,35.46665,35.83910685656186,2.100321606702979,0.6092072794026938,0.13231007240398274,38030.0,35.555,35.609,35.67,35.785000000000004,35.494,35.44,35.324999999999996
2024-01-19 02:00:00,35.551,35.61,35.499,35.586,1555,35.47351308447656,35.228763802223185,,61.85914016222615,,,,35.20208870116328,35.4977,35.79331129883673,1.6655236752619196,0.6493515307897068,0.13124078830445784,39585.0,35.565000000000005,35.63100000000001,35.676,35.787,35.52000000000001,35.45400000000001,35.34300000000001
2024-01-19 06:00:00,35.589,35.606,35.486,35.522,2407,35.478130885954975,35.24026326095953,,59.22447522708108,,,,35.27603820177939,35.5175,35.758961798220604,1.359677895238152,0.5093182441967256,0.1306781940514174,37178.0,35.538000000000004,35.59000000000001,35.65800000000001,35.77800000000001,35.470000000000006,35.418,35.297999999999995
2024-01-19 10:00:00,35.523,35.536,35.434,35.502,2695,35.480404134911645,35.250527446804256,,58.41459339048036,,,,35.35868004088144,35.534800000000004,35.71091995911857,0.991253414222485,0.40688164997267456,0.12924634864297407,34483.0,35.49066666666667,35.54733333333334,35.59266666666667,35.69466666666668,35.44533333333334,35.388666666666666,35.28666666666666
2024-01-19 14:00:00,35.496,35.562,35.468,35.513,3933,35.483508503015294,35.26082048810605,,58.73786206373521,,,,35.382070215541894,35.5419,35.7017297844581,0.8993879587647483,0.40959131898355383,0.12749062221088975,38416.0,35.51433333333333,35.56066666666666,35.60833333333333,35.70233333333332,35.46666666666667,35.42033333333334,35.326333333333345
2024-01-19 18:00:00,35.51,35.57,35.505,35.536,610,35.48850769320431,35.27161184151366,,59.42484628178103,,,,35.41556057485003,35.5509,35.686239425149964,0.76138396018084,0.44495321676042643,0.12438459121768526,39026.0,35.537,35.568999999999996,35.602,35.666999999999994,35.504,35.472,35.407000000000004
2024-01-21 22:00:00,35.526,35.578,35.439,35.488,1494,35.48845934147057,35.28009765165038,,57.349148247179095,,,,35.424361099741304,35.5533,35.682238900258696,0.7253273269074646,0.24677928899274654,0.12510952340361878,37532.0,35.501666666666665,35.56433333333333,35.64066666666667,35.77966666666667,35.42533333333333,35.36266666666666,35.22366666666666
2024-01-22 02:00:00,35.491,35.633,35.453,35.603,1411,35.49936797561623,35.292760488840564,,60.7690258962791,,,,35.44863548338076,35.562650000000005,35.67666451661925,0.6412037158043202,0.6769511514693672,0.12782673661067992,38943.0,35.56300000000001,35.673000000000016,35.74300000000001,35.92300000000001,35.493000000000016,35.38300000000001,35.20300000000001
2024-01-22 06:00:00,35.598,35.678,35.595,35.674,2497,35.51599959698611,35.30771105790564,,62.69284514350793,,,,35.459711494202374,35.57335,35.68698850579762,0.6388968472051361,0.9428516517950644,0.12561187469522525,41440.0,35.649,35.703,35.732,35.815,35.620000000000005,35.566,35.483000000000004
2024-01-22 10:00:00,35.676,35.678,35.6,35.614,2084,35.52533296870172,35.31972238896817,,60.09854167679269,,,,35.45964043060428,35.57355,35.68745956939571,0.640417216700138,0.677553124880486,0.12326360501069895,39356.0,35.63066666666666,35.661333333333324,35.70866666666666,35.786666666666655,35.58333333333333,35.55266666666667,35.47466666666667
